tafel_nr,wijk,begin_tijd,volg_nr,eind_tijd,servicetype
11,1,2019-01-09 13:11:14,0,2019-02-03 13:47:26,eten
99,1,2019-01-09 13:11:26,0,2019-01-09 20:46:36,eten
1,1,2019-01-09 13:15:51,0,2019-02-03 12:10:07,betalen
3,1,2019-01-09 13:16:23,0,2019-02-02 15:03:39,drinken
5,1,2019-01-09 13:16:47,0,2019-02-02 15:19:35,drinken
7,1,2019-01-09 13:18:08,0,2019-02-04 15:43:16,drinken
9,1,2019-01-09 13:18:24,0,2019-02-02 14:38:07,drinken
8,1,2019-01-09 13:18:46,1,2019-02-03 13:47:28,eten
10,1,2019-01-09 13:19:10,0,2019-02-02 12:37:23,eten
6,1,2019-01-09 13:19:42,0,2019-02-02 11:52:56,drinken
11,1,2019-01-09 13:20:49,0,2019-02-03 13:47:26,eten
12,1,2019-01-09 13:21:16,0,2019-02-02 13:28:43,drinken
103,1,2019-01-09 13:23:03,1,2019-02-02 14:17:06,drinken
105,1,2019-01-09 13:23:51,0,2019-02-03 13:57:34,drinken
107,1,2019-01-09 13:26:34,0,2019-02-03 13:57:33,drinken
109,1,2019-01-09 13:26:51,0,2019-02-03 16:41:44,eten
99,1,2019-01-09 13:28:02,0,2019-01-09 20:46:36,eten
4,1,2019-01-09 13:41:14,0,2019-02-03 12:40:44,drinken
2,1,2019-01-09 13:41:33,1,2019-02-03 12:30:50,eten
8,1,2019-01-09 13:42:06,1,2019-02-03 13:47:28,eten
99,1,2019-01-09 13:53:38,0,2019-01-09 20:46:36,eten
13,1,2019-01-09 13:59:09,1,2019-02-03 13:47:24,eten
14,1,2019-01-10 10:59:16,1,2019-02-03 16:21:03,eten
109,1,2019-01-10 11:29:40,0,2019-02-03 16:41:44,eten
3,1,2019-01-11 11:52:24,0,2019-02-02 15:03:39,drinken
1,1,2019-01-11 13:02:06,0,2019-02-03 12:10:07,betalen
105,1,2019-01-11 13:04:02,0,2019-02-03 13:57:34,drinken
1,1,2019-01-11 13:07:51,0,2019-02-03 12:10:07,betalen
5,1,2019-01-11 13:16:21,0,2019-02-02 15:19:35,drinken
107,1,2019-01-11 13:20:13,0,2019-02-03 13:57:33,drinken
14,1,2019-01-11 14:57:12,1,2019-02-03 16:21:03,eten
2,1,2019-01-11 15:03:18,1,2019-02-03 12:30:50,eten
14,1,2019-01-11 15:19:52,1,2019-02-03 16:21:03,eten
13,1,2019-01-12 07:36:00,1,2019-02-03 13:47:24,eten
12,1,2019-01-12 07:36:06,0,2019-02-02 13:28:43,drinken
12,1,2019-01-12 07:44:13,0,2019-02-02 13:28:43,drinken
12,1,2019-01-12 08:03:51,0,2019-02-02 13:28:43,drinken
11,1,2019-01-12 08:03:57,0,2019-02-03 13:47:26,eten
14,1,2019-01-12 08:04:06,1,2019-02-03 16:21:03,eten
13,1,2019-01-12 08:11:19,1,2019-02-03 13:47:24,eten
12,1,2019-01-12 08:12:59,0,2019-02-02 13:28:43,drinken
12,1,2019-01-12 08:27:59,0,2019-02-02 13:28:43,drinken
13,1,2019-01-12 08:28:15,0,2019-02-03 13:47:24,eten
14,1,2019-01-12 08:28:22,1,2019-02-03 16:21:03,eten
11,1,2019-01-12 08:33:39,0,2019-02-03 13:47:26,eten
12,1,2019-01-12 08:34:08,0,2019-02-02 13:28:43,drinken
13,1,2019-01-12 08:34:54,0,2019-02-03 13:47:24,eten
13,1,2019-01-12 08:42:15,0,2019-02-03 13:47:24,eten
12,1,2019-01-12 08:53:44,0,2019-02-02 13:28:43,drinken
5,1,2019-01-12 08:54:21,0,2019-02-02 15:19:35,drinken
14,1,2019-01-12 08:54:25,1,2019-02-03 16:21:03,eten
11,1,2019-01-12 08:54:31,0,2019-02-03 13:47:26,eten
13,1,2019-01-12 08:55:53,0,2019-02-03 13:47:24,eten
103,1,2019-01-12 08:59:00,1,2019-02-02 14:17:06,drinken
103,1,2019-01-12 09:04:36,1,2019-02-02 14:17:06,drinken
103,1,2019-01-12 09:09:36,1,2019-02-02 14:17:06,drinken
7,1,2019-01-12 09:11:49,0,2019-02-04 15:43:16,drinken
12,1,2019-01-12 09:17:38,0,2019-02-02 13:28:43,drinken
107,1,2019-01-12 09:29:00,0,2019-02-03 13:57:33,drinken
7,1,2019-01-12 09:31:18,0,2019-02-04 15:43:16,drinken
107,1,2019-01-12 09:43:18,0,2019-02-03 13:57:33,drinken
6,1,2019-01-12 09:50:52,0,2019-02-02 11:52:56,drinken
107,1,2019-01-12 09:54:52,0,2019-02-03 13:57:33,drinken
14,1,2019-01-12 09:58:46,1,2019-02-03 16:21:03,eten
